Region,1st dose,2nd dose,Total doses,Publication_date
Scotland,2802152,1224861,4027013,30/04/2021
Scotland,2833761,1348050,4181811,04/05/2021
Scotland,2846834,1373882,4220716,05/05/2021
Scotland,2860635,1400296,4260931,06/05/2021
Scotland,2860635,1400296,4260931,07/05/2021
Scotland,3051383,1704388,4755771,20/05/2021
"Scotland",3286261,2106177,5392438,2021-06-02
"Scotland",3305812,2137618,5443430,2021-06-03
"Scotland",3326005,2170570,5496575,2021-06-04
"Scotland",3345842,2202547,5548389,2021-06-05
"Scotland",3365779,2227493,5593272,2021-06-06
"Scotland",3386321,2251259,5637580,2021-06-07
"Scotland",3403866,2282203,5686069,2021-06-08
"Scotland",3422431,2313695,5736126,2021-06-09
